,AFG,AGO,ALB,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ESP,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GRC,GRD,GTM,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,ROU,RUS,RWA,SAU,SDN,SEN,SLB,SLE,SLV,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
2020-08-31,147657.0,,,,303.0,,,,,,127.0,,,29327.0,889808.0,,27.0,,,,3.0,1697.0,,117.0,,3188.0,4828.0,,,1248170.0,1500.0,27678.0,83512.0,,118.0,,,,417664.0,,,,,,,24125.0,9548.0,,,4728.0,103926.0,,,2930.0,,,598.0,10.0,,,,,4860.0,,8025.0,,,,,,6608.0,108579.0,,,,,204.0,350.0,,,,,33910.0,,,10821.0,,,,,,,43.0,,,,,,,,,1852.0,,,24575.0,1872.0,,,1018.0,,,296.0,,,17531.0,15398.0,,,,581.0,,,25790.0,,102.0,8866.0,,,,2545.0,,,205.0,,,,600.0,54670.0,,,,80.0,26069.0,,505680.0,,,,,,,,,66320.0,,8761.0,,,,6.0,,157.0,,,9680.0,2.0,,744775.0,,,,1019.0,,,22351.0,,,
2020-09-30,198517.0,,,,396.0,,,,,,343.0,,20.0,41122.0,64140.0,,,,,4085.0,,1304.0,,,,18905.0,,,2.0,761116.0,,7617.0,107752.0,,1782.0,,750.0,745.0,,,,,,,,,,,,75.0,31618.0,,,3850.0,,,,,1791.0,2154.0,,,3000.0,,8995.0,,293.0,,1421.0,,25142.0,137786.0,46.0,37.0,13.0,,4.0,,,,174904.0,,156.0,,475.0,5911.0,,,,,,,2427.0,,,,,,,,,1103.0,,,18214.0,18610.0,,,8197.0,700.0,,45.0,766.0,,249163.0,313508.0,672.0,,,1293.0,5.0,,527574.0,,977.0,7783.0,,,,2800.0,,,136.0,,,,,3327.0,3285.0,,,,164000.0,,268548.0,,,,,,,,,13893.0,,58.0,,,,,,,,181.0,74.0,35.0,,205594.0,,,,106992.0,,,36132.0,65.0,,
2020-10-31,84561.0,,,,,,,95.0,,145180.0,552.0,,7000.0,1527.0,,,,,1.0,,93.0,200.0,,36.0,,2952.0,100.0,13.0,,21000.0,14670.0,420.0,40143.0,,85.0,,,61.0,6652.0,,,,,,,,,,200.0,3.0,6700.0,,,958.0,,,14.0,,,30.0,15646.0,,,,1000.0,,,,6125.0,,15722.0,96055.0,,,,,10000.0,28.0,,,,,7428.0,,65775.0,,,,,,,,26.0,,,,,,,,,13731.0,,,10855.0,13717.0,,,12483.0,,,21.0,394.0,,5424.0,16313.0,29.0,,,,202.0,,,,96.0,72063.0,,,,,8.0,,81.0,5.0,,,,32066.0,,,,109.0,28224.0,,19702.0,,,60.0,,,,,50000.0,12354.0,,230.0,,,,9.0,10000.0,200.0,,5.0,17994.0,1000.0,,128381.0,,,,792006.0,,,14220.0,,,
2020-11-30,30173.0,,,,,,,5.0,,,745.0,,,17961.0,21.0,,,,,288.0,,3500.0,,,780.0,123.0,,,,,,959.0,14489.0,,16507.0,,,1206.0,246309.0,,,,,,,10460.0,25.0,,,,139328.0,,,,,,,,,,,,807.0,,2200.0,,88023.0,,,,12560.0,272506.0,,,,,2120.0,1040.0,48.0,,,,70.0,,,,,,300000.0,,,,154.0,,,,,,,,,13810.0,,,3500.0,7182.0,,,45641.0,,,4977.0,1223.0,,14102.0,10018.0,134059.0,,,,400.0,,154.0,832.0,525.0,2950395.0,,,,,,,169.0,,,,,2.0,,,,2123.0,196428.0,,17027.0,,,,,,,,,3921.0,,,,,,,,6710.0,,,5.0,,,3723.0,,,1346.0,27090.0,,,7254.0,158.0,10.0,200.0
2020-12-31,35668.0,,,,,,,26.0,,,1890.0,,,,,,,,,,,,,,,185008.0,282.0,,,,,,71410.0,,968.0,,,,,,,,,,,,15.0,,,,535412.0,,23479.0,59.0,,,2990.0,,,,,,,,,,,40000.0,,,99889.0,72970.0,,867.0,,581.0,7.0,422.0,,,,,,,,,,,,,,,99030.0,,,,,,,,,,,,26898.0,13690.0,,,6175.0,,,9471.0,14206.0,,27049.0,8595.0,,,1000.0,,469.0,,4.0,,,151049.0,,,,,20.0,,75.0,,,,,,,,,,,,8146.0,,,,,,,,,770.0,,4122.0,,,,,,,,,,,,68769.0,,,,59382.0,,53.0,5202.0,5000.0,578.0,1715.0
2021-01-31,33936.0,,251.0,,4.0,37.0,,805.0,,,1646.0,,,2881.0,,25.0,,,,,310.0,10934.0,,,,84886.0,64.0,109.0,26200.0,,,1400.0,204864.0,,44.0,,,,,,,180.0,,,,,,,,,136116.0,,,127.0,,,385.0,,111.0,,,,120.0,,,,,,,,311815.0,946.0,,,,77.0,77.0,40.0,,,83.0,,8.0,,,,,,779.0,,,,420.0,,,,,10.0,,600.0,,,,,32634.0,4005.0,,,,,,,47300.0,255.0,19247.0,4740.0,,,,,106.0,,,,,53852.0,,100.0,,,,,82.0,,,,,126237.0,,,,,,34.0,36749.0,,,,,,105.0,,77516.0,6026.0,,907.0,,,,,,,,41.0,,,,25636.0,,,,,,,4020.0,630.0,,2208.0
2021-02-28,41469.0,85.0,,,,,,784.0,,,1603.0,,,14814.0,,,,,,,,73501.0,,,,67169.0,,,415.0,,,,284159.0,,,,,,,,,,,,,,,550.0,,175.0,251645.0,,14322.0,903.0,,,12.0,,124.0,,,,16.0,,,,,,,,170552.0,226.0,,3579.0,15017.0,75.0,154.0,18.0,,,294.0,,,,,450.0,,,11.0,,,,5.0,,,,,,,,,306.0,,,9870.0,850.0,,,43327.0,,,,1216.0,,4411.0,15205.0,,,,,,,,,,282281.0,,2924.0,,,3.0,,305.0,,,,,,,,,,,,47841.0,,,,,,,,91410.0,2000.0,,,,,,,,,,12518.0,2.0,,,995.0,,,,22.0,,,13452.0,,,
2021-03-31,34788.0,2772.0,,,,,,40000.0,,,2056.0,,,9800.0,,,,,,,,30720.0,,,,36371.0,390.0,,,1600.0,,10741.0,381161.0,,19579.0,,,,,,,,,,,660.0,1596.0,,,55.0,413118.0,,2.0,76.0,,,,,200.0,,696.0,,4368.0,,,,,,3000.0,,3551.0,47.0,,2322.0,,,154.0,,,,,,,,,,,,,,,,25.0,,,,,,,4000.0,,1550.0,,,7950.0,6823.0,,600.0,,,,200.0,128.0,,5642.0,38852.0,,,64.0,42.0,28127.0,,156.0,,,86326.0,,63.0,,,20.0,,81.0,,,,,35757.0,,,,,,,105628.0,,,,,,,,52070.0,5700.0,,900.0,,,,,,180.0,,,2810.0,,,6803.0,,,,1004.0,,,9066.0,,1272.0,
2021-04-30,29347.0,19486.0,,,127.0,,,,,,13989.0,400.0,,1656.0,,,,,,,93.0,52465.0,,,,30037.0,55.0,,,3168.0,,183187.0,1442097.0,,23327.0,,,263.0,,,,,,,,,,,,,455709.0,,,152.0,,,,,1730.0,,,,130.0,,1006.0,,,,559.0,,92778.0,,,71.0,8134.0,,77.0,,,,7.0,69.0,31989.0,,138.0,,,,,,,,28.0,,,,,,,,,400.0,,,15820.0,113000.0,,,11104.0,,,,100.0,,6949.0,23627.0,,,275.0,281.0,,,12.0,1656.0,,153168.0,462.0,5191.0,,,,,18.0,,,,,56976.0,,,,,60000.0,,188475.0,,,,,,,,53803.0,1500.0,,520.0,,15876.0,,,,,,30005.0,2281.0,,,1611.0,,,,7.0,,,4206.0,2.0,,
2021-05-31,122749.0,,,,,,,,,,70891.0,,,35276.0,17567.0,,,,,,,54145.0,,,,60454.0,697.0,,,140146.0,,,836475.0,,30476.0,,,,,,,,,,,,,1463.0,,,262856.0,,,33.0,,,,,152.0,,,,920.0,,1983.0,,,,,,2093.0,2494124.0,,526.0,,,28.0,,,,2.0,72.0,62768.0,40649.0,4740.0,,,,,,,,1966.0,,,,,,,,,1500.0,,,4596.0,17644.0,,,,,,,5645.0,,16509.0,217932.0,,,,71.0,675.0,,,,,37060.0,,468.0,8.0,,,,113009.0,142.0,132.0,14157.0,,875.0,,,,215.0,261600.0,,71550.0,,,,,,,,30569.0,,,,15521.0,,,,,,,3348.0,17321.0,,,2250.0,,22759.0,,206.0,,,5086.0,2.0,,
2021-06-30,144375.0,,,,,,,6.0,,,3.0,,,25571.0,200.0,,,,,,,12343.0,,,,52800.0,,35.0,35.0,108626.0,,,1768885.0,,12485.0,,,,,,2760.0,,,,,,,,,,169857.0,,,807.0,,,,,250.0,,,,,,,216.0,,,,,9913.0,5514.0,,4872.0,1400.0,,1562.0,,,,,,12.0,8000.0,556.0,,,,22.0,,,,50051.0,,,,,,,,,694.0,,,89160.0,15583.0,,,83680.0,,,,,,8325.0,27428.0,,,500.0,25.0,421.0,,216.0,,,78909.0,,,113.0,,,,216.0,,3180.0,,,18829.0,,,,165.0,215900.0,,70141.0,,6500.0,,,,,,61267.0,5898.0,,,,,,,,,,,,1783.0,139.0,3822.0,,,,6293.0,,,10728.0,,,
2021-07-31,98775.0,4684.0,,,,,,3.0,,,6.0,15673.0,,48855.0,4062.0,,,,,,,369.0,376.0,,,84963.0,523.0,,,3361525.0,100.0,2918.0,1731026.0,,11677.0,,,,180000.0,59.0,20.0,12729.0,,,,118.0,,,,72.0,242217.0,,,923.0,,,120.0,,,,2389.0,,6000.0,,,,,,15582.0,,28489.0,576243.0,,610.0,10800.0,,276.0,1500.0,,,2942.0,,28.0,116.0,294.0,921.0,,,17.0,,,,280.0,,,230.0,,,,,,,,,,236586.0,,5731.0,27352.0,,,,402.0,,,29853.0,,51343.0,,,,210.0,,858.0,,245035.0,,,,,,,278.0,,950.0,,,59281.0,22.0,,,,41778.0,,70122.0,,,,,,,,43706.0,21382.0,,,,,,,200.0,1635.0,,,2169.0,214.0,,5730.0,,,400.0,2633.0,,,3072.0,519.0,,
2021-08-31,80567.0,,,,,,,,11.0,,2.0,,,36646.0,41599.0,,,,,,,,,,,41179.0,,,,903815.0,,33860.0,2545998.0,,7528.0,,,,13742.0,,,250.0,,,,9610.0,5000.0,,,1000.0,326516.0,,,8000.0,,,,,2176.0,,,,3538.0,,,,,,,,2728.0,713241.0,,10.0,78.0,,2105.0,210.0,16.0,,10141.0,,,,,,,,6.0,,,,1594.0,729.0,,,,,,,,2117.0,,,,84456.0,,,27561.0,,,,,,38754.0,32535.0,,,,17570.0,135.0,,,50.0,,299954.0,,682.0,,5000.0,,,191.0,270.0,1531.0,,,132603.0,1300.0,,,,99400.0,,153352.0,,,,,,,,132391.0,934.0,,,,,,,1000.0,42650.0,,,2313.0,,,29149.0,,,32392.0,690.0,,,5412.0,,,
2021-09-30,3552.0,,,,,,,5.0,,,2064.0,,10000.0,5239.0,84476.0,,,,,,,,,,,1376.0,32000.0,,,917521.0,,1390.0,2821463.0,,33570.0,,,,,,,,,,,,,,,5120.0,196323.0,,,486.0,,,,85.0,,,,,,,,,,,219745.0,,3028.0,177089.0,,,9912.0,,231.0,60.0,,,,,187.0,,127.0,196.0,,5.0,,,,,,,,,,,,,,14996.0,,,,196578.0,,,2497.0,,,,13.0,,,18066.0,,,,,15.0,,,,,167805.0,,,,,,,2.0,,,,,167542.0,,,,300.0,,,299146.0,,,,,,,,23329.0,171176.0,,,,,,,,,,1722.0,7152.0,,,23864.0,,,,728280.0,,,50244.0,,,
2021-10-31,,,,,,,,5000.0,,,2591.0,,,2300.0,101.0,,,,,,,,,,,69462.0,,,,598546.0,,,2748579.0,101.0,66670.0,,,,,,,,,,,,49.0,,,7000.0,452691.0,,,600.0,,,,,222.0,2000.0,,,172.0,,,,,,,,16043.0,532952.0,,,,69.0,,196.0,,,122.0,,2002.0,,8305.0,,,,,,,,55.0,,,,,,,,,12871.0,,,,31941.0,,,972.0,,,,,,124847.0,3733.0,,,,14582.0,32.0,5000.0,1811.0,,,474411.0,,13.0,,,,,8.0,,,803.0,,609.0,,5.0,,,102040.0,,50528.0,,,,,,,,50220.0,,,6770.0,,,,,4.0,,,100.0,41326.0,,,12211.0,,,,10351.0,,,28122.0,,,73539.0
2021-11-30,1739.0,,,38.0,60.0,,,122.0,,,1428.0,,,6724.0,126.0,,,314.0,3000.0,,,,,,,22904.0,17775.0,,,,,,5352147.0,6552.0,2758.0,,,,,,,,,,,,,44.0,1108.0,,625025.0,,,1063.0,,,,,7000.0,,,,,,14625.0,,262.0,,,,46561.0,370283.0,,20472.0,5142.0,,270.0,451.0,,,,,200.0,,479.0,,,,39.0,,930.0,,64786.0,,,,,,,,,11311.0,,,,75737.0,,,,,,402.0,,,17647.0,2983.0,,,,,2911.0,,,,,21018.0,,,,,,,79.0,,,,,4300.0,,,,,113000.0,,154356.0,,,,,,,,17945.0,1785.0,,,,,,,,14.0,,,112.0,,17.0,855.0,,,,4000.0,,,29982.0,41.0,53.0,328.0
2021-12-31,980.0,,,,,,,1055.0,,,2005.0,,,66000.0,,,,,,,503.0,,,,,45036.0,,,1207.0,,,32901.0,223204.0,,5823.0,,,27.0,,,,,,,,,,28.0,,255.0,189773.0,,12.0,331.0,,,,,,,,,,,1681.0,,,,,,50418.0,49256.0,25.0,13253.0,2000.0,,,161.0,,,2.0,,8016.0,,,169.0,,,,,,,1298.0,,,,,,,,,,,,,152146.0,,,3741.0,,,,68469.0,,10954.0,9969.0,,,,8.0,41.0,,,,10705.0,3962315.0,,854.0,,,14.0,,147.0,,,,,,,,,,,,16614.0,725.0,,,,,,,15140.0,,,,,,,,,52.0,,736.0,715.0,,,37414.0,,,,26057.0,,,,4054.0,,84.0
2022-01-31,28700.0,,,,,,,68.0,,,,,,,,,,,,,,190778.0,,,,51372.0,,45.0,,16036.0,,,1317501.0,,5474.0,,,,,,,,,,20.0,1720.0,,211.0,,60.0,121900.0,,4630.0,,,,,,,,2204.0,,300.0,,2426.0,,3.0,,14303.0,,5915.0,36.0,,19151.0,,,77.0,9.0,,,,115.0,,11052.0,,,14.0,,22.0,,,,,,,,27.0,,,26730.0,,183.0,,,,205417.0,,,,,,,89.0,,,52090.0,,,125.0,,73.0,45.0,3449.0,,2405.0,23203.0,,2898.0,,,7.0,,135.0,,23.0,554.0,,19331.0,,,,,23142.0,,43588.0,,,,,,,,72139.0,,,,,,,,,23.0,,480.0,348.0,,164.0,1502.0,,,,,,,14466.0,621.0,530.0,1334.0
2022-02-28,6463.0,,,,65.0,,,3250.0,,,,11.0,,,,,,,,,2500.0,40277.0,,,,28630.0,245.0,,,8400.0,,1266.0,704608.0,,1407.0,,,,,,,,,,,7745.0,,,,75.0,244221.0,,130.0,10.0,,,1207.0,,209.0,,,,,,3935.0,,2144.0,,,,7244.0,,,,,56.0,182.0,146.0,,,,,801.0,,,1005.0,,,,,,,238.0,,,,,,,109414.0,,92.0,,,,51920.0,,,88632.0,,138.0,,923.0,,,4326.0,,,,8.0,716.0,,,,3679.0,6157.0,,1590.0,,,7.0,,102.0,,333.0,,,7927.0,,,,,,,57900.0,,,,,,,,30920.0,,,22.0,,,,,,250.0,,131.0,557.0,,,,,,,,384.0,,7620.0,325.0,1026.0,
2022-03-31,11847.0,366.0,,,,,,,,189.0,275.0,,,,,,,,,,,30058.0,,,,27210.0,,21.0,,465.0,,,1120180.0,,934.0,,,,,,,,,,,237.0,,53.0,,93.0,109449.0,8.0,,98.0,,,91.0,,37.0,,5626.0,,300.0,,9408.0,,7.0,,547.0,,10135.0,1525.0,,,10821.0,,81.0,6.0,,,1270.0,141.0,,8.0,,6667.0,,,13.0,,,,,,,,,,,,,941.0,,,,21998.0,,,23994.0,,,297308.0,29026.0,,,26438.0,,,19.0,17.0,,,7.0,,9534.0,87967.0,,39.0,,,,,37.0,,196.0,1521.0,,3466.0,,,,,,,47350.0,,,,,,,,56444.0,6161.0,,,84.0,,,,,627.0,,,2178.0,,,59657.0,68.0,,,84.0,,,5922.0,1512.0,,
2022-04-30,2490.0,,,,,,,5064.0,,,45.0,,,233628.0,48.0,,,20.0,,,,102995.0,,,,15297.0,1525.0,,,7642.0,,759.0,391134.0,,8454.0,,,,,,,,,,,230.0,,809.0,,1.0,123332.0,,,,,,,100.0,279.0,,,,,,533.0,,,,,,21885.0,16443.0,,,,,3.0,80.0,,,,1661.0,,18507.0,,27.0,,,,,,,69.0,,,,,,,,,201.0,,,,58067.0,,,,,,,171.0,,,18850.0,,,30.0,215.0,9.0,,,,2578.0,952988.0,,1290.0,,,2000.0,,17.0,,1373.0,426.0,,122881.0,,,,,3119.0,,40000.0,,,,,,,,26458.0,,,,,,,,2000.0,831.0,,3630.0,5710.0,,,11616.0,100.0,,1033.0,32.0,,,3665.0,83504.0,,
2022-05-31,12753.0,,,,,,,,,,,,,,13323.0,,,,,,,230249.0,,,,79853.0,5863.0,,,5000.0,,12428.0,224280.0,,903.0,,,,,54.0,,8.0,12.0,,,320.0,,,,,,,,,,,,,,,,,,,1957.0,,129.0,,9142.0,,872.0,138050.0,,300.0,10200.0,,77.0,25.0,,,7.0,39.0,342.0,1688.0,,,,,,,,,807.0,,,,,,,,,914.0,,,,34100.0,,,38550.0,,,,156.0,,,10098.0,,,,24.0,45.0,,4605.0,,1584.0,36440.0,,6440.0,,,,,162.0,,1348.0,,,19382.0,,,,,37584.0,,55300.0,,1466.0,,,,,,33162.0,,,,,,,,,,,,9973.0,1.0,,33187.0,,,5.0,152.0,2.0,,3132.0,250.0,,
2022-06-30,212192.0,,,,,,,,,,,117.0,,104731.0,485289.0,,,58.0,,,,16827.0,,,,11332.0,1487.0,,,1197501.0,,14800.0,1643893.0,,1537.0,,,,5171.0,,,620.0,,,,,,,,4550.0,75372.0,,14.0,150.0,,,,334.0,590.0,,,,60.0,,5417.0,115.0,1091.0,,,,29870.0,7999.0,,,23039.0,,231.0,,,,6.0,,1032.0,,811.0,970.0,,,8.0,,,,61.0,,,,,,,,373.0,703.0,,,,67023.0,,,20339.0,,,,541.0,,,14102.0,,,,66.0,,,7.0,,165.0,6848.0,,3800.0,,,,,89.0,,,,,252356.0,,,,,144301.0,,12900.0,,,,,,,,27531.0,,,,24.0,,,,,5647.0,,,453.0,,,3518.0,,,,121.0,,,229901.0,,,
2022-07-31,15515.0,,,,,,,,,,298.0,,,314029.0,506.0,,,,,,,87143.0,,,,67948.0,2159.0,,,98714.0,2418.0,7674.0,552931.0,,1717.0,,,,,,,,,,,,,1678.0,,18510.0,84032.0,,,31509.0,,,551.0,,,,3136.0,,600.0,,1762.0,,48.0,100.0,,,3888.0,,26.0,2450.0,,,77.0,2612.0,,,458.0,25.0,246.0,,222.0,116.0,,,,,,,89.0,,,,,9487.0,,,,7718.0,,,,76870.0,,66.0,,,,,,,,4333.0,3011.0,18.0,,1174.0,152.0,,,,1246.0,33284.0,,15082.0,,,1285.0,,188.0,,70.0,,,64238.0,,,,131.0,109661.0,,19400.0,,,,500.0,,,,23960.0,4925.0,,,,,,,32.0,221.0,,,,,,34131.0,,3.0,,512.0,,,1920.0,,,
2022-08-31,24507.0,,,,,,,,,,,,260.0,65375.0,25922.0,,,,,,,2887.0,,,,14057.0,1410.0,,,652901.0,,3360.0,376771.0,,1157.0,,,,4744.0,,,,,,,,2000.0,,,6862.0,219773.0,,,11304.0,,,120.0,,21.0,,,,,,2657.0,,131.0,,14435.0,,10496.0,70400.0,,11212.0,,,233.0,898.0,,,5477.0,,,,6579.0,8261.0,,,,,364.0,,3387.0,,,,,,,,,188.0,,,,6361.0,,,,23284.0,,,409.0,,16000.0,45059.0,,,,53230.0,1760.0,,,,263.0,637720.0,,2010.0,,197.0,1181.0,,677.0,,726.0,,,196620.0,12089.0,,800.0,11.0,40020.0,,142850.0,238.0,,,,,,,49273.0,15943.0,,2382.0,143.0,,,,,,,,3180.0,,,11004.0,,,724.0,159.0,,,72.0,,,
2022-09-30,4396.0,,,,,7600.0,,,,,5672.0,,,27430.0,1169.0,900.0,,,,,,1135.0,,,,81310.0,2074.0,20.0,,1405483.0,,131994.0,289282.0,16300.0,1833.0,,,50.0,79762.0,,,,,,,43540.0,,,,638.0,,,,1840.0,,,,,,,,,,,8284.0,,26585.0,,,,4579.0,,,,36798.0,,154.0,854.0,,,33388.0,2091.0,,142071.0,3957.0,6792.0,,561.0,,,,,243.0,,,,,,,,,6632.0,,,3000.0,93678.0,,,,,,,773.0,,87142.0,34778.0,,,,3560.0,,,8154343.0,,248.0,326909.0,,30791.0,,,13.0,,57.0,,244.0,5264.0,,46468.0,,,,68.0,97713.0,,209573.0,,,,,,,,44312.0,3667.0,,1101.0,6.0,,,,,1256.0,,,6286.0,,,104098.0,,,,328369.0,,,1482.0,,,
2022-10-31,16.0,,,,,,,,,,2080.0,,6892.0,39107.0,1000106.0,,,,,,,2444.0,,,,30476.0,,,,41000.0,,116059.0,882215.0,10563.0,1061.0,,,1577.0,,,,,,,,,,,,,185281.0,,,186.0,,,,,157.0,,,,,,65480.0,,39847.0,,16499.0,,33857.0,1440239.0,,4550.0,,,158.0,60.0,,,,,,,20735.0,,,2000.0,,,,,5708.0,,,,,,,,,3408.0,,,47863.0,7905.0,,,65000.0,,,,264.0,,,1429564.0,13000.0,,,70120.0,,,,200.0,64.0,2129014.0,,632.0,,,,,84.0,163.0,293.0,,,71133.0,,,,7371.0,11861.0,,16832.0,,,,,,,,16601.0,98785.0,,593.0,,,,,,,,,6.0,,,304104.0,,,10054.0,42597.0,,14.0,1206.0,,,
2022-11-30,,1191.0,318.0,,,,,,,,874.0,,,,61.0,,,,,5001.0,,1588.0,,,,39659.0,7.0,,,,,208368.0,1932102.0,,625.0,,,,,,,2.0,6086.0,,,,,,,,350000.0,,,4.0,,,,,,,,,,,113843.0,,8.0,,2988.0,,72378.0,169703.0,,,,,77.0,165.0,,,,,,,,,,,,,,560.0,245.0,,,,,,,,,513.0,,,,13148.0,,,,,,,6079.0,,,,,,,3918.0,,,6760.0,261.0,394.0,12551.0,,57.0,,,,,333.0,,105.0,,,10635.0,,11.0,,,,1.0,3600.0,,,,,,,,2615.0,,,,,,,40.0,,858.0,,,353.0,,,114035.0,,,6298.0,9.0,,,,,,
2022-12-31,,831.0,,,,,,8.0,,,1627.0,,,,,,,,,,,1992.0,,,,26009.0,2.0,,549.0,,,331564.0,1904129.0,43794.0,815.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.0,,94.0,,15146.0,,78683.0,9884.0,,,12132.0,,,504.0,,,19.0,,,,,,,,,,,,49.0,,,,,,,,,310.0,28.0,,,10000.0,,,,,,,105750.0,,,,,,,,,,,,1692.0,331620.0,,,,,,,65.0,,8.0,,,817.0,,,,,,,111000.0,,,,,,,,600.0,,,1313.0,,,,,,,,,1948.0,,,2500.0,,,,191.0,,,,15000.0,,
2023-01-31,563.0,3766.0,,,,,,309.0,,,1738.0,,,78307.0,49.0,,,,,,7.0,65716.0,,,,59468.0,,,,,,136978.0,139188.0,,6343.0,,,,,,,10.0,,,,,,4.0,,,445075.0,,,,,,,6.0,,,,,,,1154.0,,,,2388.0,,134168.0,3098.0,,108765.0,,,,25.0,,,,,25.0,,2668.0,647.0,,,,,,,,,,,,,,51880.0,,,,,24219.0,86500.0,,,5154.0,,,,20448.0,8.0,8000.0,1954.0,,,,30.0,88.0,,7.0,,,588659.0,,,,,2.0,,176.0,,3.0,,,1260.0,,,,3795.0,241250.0,87.0,22654.0,,,,,,,,4674.0,1710.0,,3.0,,,,,,,,,30.0,,,64362.0,,,,,,,8087.0,,139.0,
